product_norm,period_start,period_end,cheapest_branch,cheapest_price,num_branches_compared
PEITO DE FRANGO CONGELADO KG,01.12,07.12,JUAZEIRO DO NORTE,11.50,3
PEITO DE FRANGO CONGELADO KG,03.11,06.11,BRUMADO,13.00,2
PEITO DE FRANGO CONGELADO KG,03.11,09.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,10.11,16.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,17.11,23.11,JUAZEIRO DO NORTE,11.00,3
PEITO DE FRANGO CONGELADO KG,24.11,30.11,CAMPINA GRANDE,13.80,2
PERNIL CONGELADO S/ OSSO KG,03.11,09.11,CAMPINA GRANDE,19.80,2
PERNIL CONGELADO S/ OSSO KG,06.10,12.10,JUAZEIRO DO NORTE,19.50,4
PERNIL CONGELADO S/ OSSO KG,29.09,05.10,VITÓRIA DA CONQUISTA,21.80,2
PNEU DUNLOP SP TOURING 175/65 RI4 R1 82,03.11,09.11,CAMPINA GRANDE,15.00,2
PNEU DUNLOP SP TOURING 175/65R14 R182T,03.11,06.11,BRUMADO,298.90,2
PNEU DUNLOP SP TOURING 175/65R14/ 175/70R13/ 165/70R13/ R182T,10.11,16.11,CAMPINA GRANDE,278.00,2
"PNEU DUNLOP SP TOURING 175/70R13, 175/65R14 E 165/70R13 R1 82T",01.12,07.12,JUAZEIRO DO NORTE,278.00,3
"PNEU DUNLOP SP TOURING 175/70R13, 175/65R14 E 165/70R13 R1 82T",24.11,30.11,CAMPINA GRANDE,218.90,3
PNEU DUNLOP TOURING 175/ 165/70R13 R1 79%,03.11,09.11,CAMPINA GRANDE,298.00,3
PNEU DUNLOP TOURING 175/70R13 R1 79T 105/70R13 R1 79T,03.11,06.11,BRUMADO,278.98,2
PNEU DUNLOP TOURING 175/70R14 R1 88T,24.11,30.11,CAMPINA GRANDE,348.20,2
PÃO DE FORMA BELLAVITA 4509,03.11,09.11,CAMPINA GRANDE,3.78,2
PÃO DE FORMA TRADICIONAL LIMIAR 400G,01.12,07.12,CAMPINA GRANDE,3.80,2
PÃO DE FORMA TRADICIONAL LIMIAR 400G,03.11,06.11,BRUMADO,3.80,2
PÃO DE FORMA TRADICIONAL LIMIAR 400G,10.11,16.11,CAMPINA GRANDE,3.80,2
PÃO DE FORMA TRADICIONAL LIMIAR 400G,17.11,23.11,CAMPINA GRANDE,3.80,2
PÃO DE FORMA TRADICIONAL LIMIAR 400G,24.11,30.11,CAMPINA GRANDE,3.80,2
QUEIJO MUÇARELA PEÇA/ PEDAÇO KG,03.11,06.11,BRUMADO,29.90,2
QUEIJO MUÇARELA PEÇA/ PEDAÇO KG,03.11,09.11,CAMPINA GRANDE,28.00,3
QUEIJO MUÇARELA PEÇA/ PEDAÇO KG,10.11,16.11,CAMPINA GRANDE,28.00,3
QUEIJO MUÇARELA PEÇA/PEDAÇO KG,17.11,23.11,CAMPINA GRANDE,28.00,3
QUEIJO MUÇARELA PEÇA/PEDAÇO KG,24.11,30.11,CAMPINA GRANDE,27.80,2
