product_norm,branch,period_start,period_end,num_occurrences,price_mean,price_min,price_max
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 250G,CAMPINA GRANDE,03.11,09.11,1,14.50,14.50,14.50
CAFÉ ALMOFADA TRADICIONAL SÃO BRAZ 250G,JOÃO PESSOA,03.11,09.11,1,14.50,14.50,14.50
CAFÉ BAHIA 2509,BRUMADO,03.11,06.11,1,12.80,12.80,12.80
CAFÉ BAHIA 2509,VITÓRIA DA CONQUISTA,03.11,06.11,1,12.80,12.80,12.80
CAFÉ KIMIMO 2509,JUAZEIRO DO NORTE,01.12,07.12,1,13.30,13.30,13.30
CAFÉ KIMIMO 2509,JUAZEIRO DO NORTE,10.11,16.11,1,13.00,13.00,13.00
CAFÉ KIMIMO 2509,JUAZEIRO DO NORTE,17.11,23.11,1,13.80,13.80,13.80
CAFÉ KIMIMO 2509,JUAZEIRO DO NORTE,24.11,30.11,1,13.89,13.89,13.89
CAFÉ SANTA CLARA ALMOFADA OU A VÁCUO 2509,CAMPINA GRANDE,06.10,12.10,1,16.00,16.00,16.00
CAFÉ SANTA CLARA ALMOFADA OU A VÁCUO 2509,JOÃO PESSOA,06.10,12.10,1,16.70,16.70,16.70
CAFÉ SANTA CLARA ALMOFADA OU A VÁCUO 2509,JUAZEIRO DO NORTE,06.10,12.10,1,16.00,16.00,16.00
CAFÉ TRADICIONAL SANTA CLARA 250G,CAMPINA GRANDE,01.12,07.12,1,13.80,13.80,13.80
CAFÉ TRADICIONAL SANTA CLARA 250G,JOÃO PESSOA,01.12,07.12,1,13.80,13.80,13.80
CAPA DE FILÉ BOVINA RESFRIADA PEÇA A VÁCUO KG,JUAZEIRO DO NORTE,01.12,07.12,1,25.80,25.80,25.80
CAPA DE FILÉ BOVINA RESFRIADA PEÇA A VÁCUO KG,JUAZEIRO DO NORTE,03.11,09.11,1,25.80,25.80,25.80
CAPA DE FILÉ BOVINA RESFRIADA PEÇA A VÁCUO KG,JUAZEIRO DO NORTE,17.11,23.11,1,25.89,25.89,25.89
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA A VÁCUO KG,BRUMADO,29.09,05.10,1,26.80,26.80,26.80
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA A VÁCUO KG,JUAZEIRO DO NORTE,06.10,12.10,1,27.80,27.80,27.80
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA A VÁCUO KG,VITÓRIA DA CONQUISTA,06.10,12.10,1,26.80,26.80,26.80
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA À VÁCUO KG,BRUMADO,06.10,12.10,1,26.80,26.80,26.80
CAPA DE FILÉ BOVINO RESFRIADO FRIBOI PEÇA À VÁCUO KG,VITÓRIA DA CONQUISTA,13.10,19.10,1,26.80,26.80,26.80
CAPA DE FILÉ BOVINO RESFRIADO PEÇA A VÁCUO KG,CAMPINA GRANDE,24.11,30.11,1,29.50,29.50,29.50
CAPA DE FILÉ BOVINO RESFRIADO PEÇA A VÁCUO KG,JOÃO PESSOA,24.11,30.11,1,29.50,29.50,29.50
CAPA DE FILÉ BOVINO RESFRIADO PEÇA A VÁCUO KG,JUAZEIRO DO NORTE,24.11,30.11,1,26.00,26.00,26.00
CARNE MOÍDA BOVINA CONGELADA FORTBOI 5009,CAMPINA GRANDE,03.11,09.11,1,7.80,7.80,7.80
CARNE MOÍDA BOVINA CONGELADA FORTBOI 5009,JOÃO PESSOA,03.11,09.11,1,7.80,7.80,7.80
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,CAMPINA GRANDE,01.12,07.12,1,7589.00,7589.00,7589.00
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,CAMPINA GRANDE,17.11,23.11,1,78.00,78.00,78.00
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,JOÃO PESSOA,01.12,07.12,1,7589.00,7589.00,7589.00
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,JOÃO PESSOA,17.11,23.11,1,78.00,78.00,78.00
CARNE MOÍDA BOVINA CONGELADA FORTBOI 500G,JUAZEIRO DO NORTE,24.11,30.11,1,7.80,7.80,7.80
CARNE SUÍNA PURURUCA KG,BRUMADO,03.11,06.11,1,15.50,15.50,15.50
CARNE SUÍNA PURURUCA KG,VITÓRIA DA CONQUISTA,03.11,06.11,1,15.50,15.50,15.50
CARRÉ SUÍNO CONGELADO KG,BRUMADO,06.10,12.10,1,15.80,15.80,15.80
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,01.12,07.12,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,03.11,09.11,1,17.80,17.80,17.80
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,06.10,12.10,1,16.00,16.00,16.00
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,10.11,16.11,1,16.80,16.80,16.80
CARRÉ SUÍNO CONGELADO KG,CAMPINA GRANDE,17.11,23.11,1,16.90,16.90,16.90
